,accident_year,region,accident_outcome,accident_count,x_point,y_point
0,2016,Makkah,No. of Casualties - Injured,12383,21.628962766,41.2636898334
1,2016,Eastern Region,No. of Casualties - Dead,1113,23.2883307307,50.1478302439
2,2016,Tabouk,No. of Casualties - Dead,434,27.90165499,37.2598581394
3,2016,Hail,No. of Casualties - Dead,299,27.400845724,41.4406960508
4,2016,Hail,No. of Accidents,10199,27.400845724,41.4406960508
5,2016,Northern Boarder,No. of Casualties - Dead,193,30.197074783,41.8171186952
6,2017,Jazan,No. of Accidents,22161,17.2072313962,42.6525807422
7,2017,Al-Jouf,No. of Accidents,10469,29.9677445762,39.5570371172
9,2016,Northern Boarder,No. of Casualties - Injured,631,30.197074783,41.8171186952
10,2016,Jazan,No. of Casualties - Dead,514,17.2072313962,42.6525807422
11,2016,Al-Baha,No. of Casualties - Injured,1227,20.1484058503,41.4665484892
12,2016,Al-Jouf,No. of Casualties - Injured,920,29.9677445762,39.5570371172
13,2017,Riyadh,No. of Accidents,99925,23.0814341634,45.5857512766
14,2017,Riyadh,No. of Casualties - Injured,4540,23.0814341634,45.5857512766
15,2017,Madinah,No. of Casualties - Dead,580,24.927534539,39.4918237173
16,2017,Qassim,No. of Accidents,22405,26.1967063704,43.3429998455
17,2017,Eastern Region,No. of Accidents,81433,23.2883307307,50.1478302439
18,2017,Tabouk,No. of Accidents,11713,27.90165499,37.2598581394
19,2017,Northern Boarder,No. of Accidents,11540,30.197074783,41.8171186952
20,2017,Jazan,No. of Casualties - Dead,466,17.2072313962,42.6525807422
21,2017,Jazan,No. of Casualties - Injured,2207,17.2072313962,42.6525807422
22,2017,Najran,No. of Casualties - Dead,194,18.4511003068,46.8688495726
23,2017,Al-Jouf,No. of Casualties - Injured,862,29.9677445762,39.5570371172
24,2016,Madinah,No. of Casualties - Dead,822,24.927534539,39.4918237173
25,2016,Eastern Region,No. of Accidents,101619,23.2883307307,50.1478302439
26,2016,Eastern Region,No. of Casualties - Injured,4893,23.2883307307,50.1478302439
27,2016,Jazan,No. of Casualties - Injured,2259,17.2072313962,42.6525807422
28,2016,Al-Jouf,No. of Accidents,10212,29.9677445762,39.5570371172
31,2017,Qassim,No. of Casualties - Injured,1446,26.1967063704,43.3429998455
32,2017,Eastern Region,No. of Casualties - Dead,963,23.2883307307,50.1478302439
33,2016,Asir,No. of Casualties - Dead,983,19.1387847401,42.941470036
34,2016,Asir,No. of Casualties - Injured,2541,19.1387847401,42.941470036
35,2016,Riyadh,No. of Casualties - Dead,1430,23.0814341634,45.5857512766
36,2016,Riyadh,No. of Accidents,141736,23.0814341634,45.5857512766
37,2016,Makkah,No. of Accidents,134838,21.628962766,41.2636898334
38,2016,Madinah,No. of Accidents,14475,24.927534539,39.4918237173
39,2016,Qassim,No. of Accidents,25664,26.1967063704,43.3429998455
40,2016,Qassim,No. of Casualties - Injured,1513,26.1967063704,43.3429998455
41,2016,Tabouk,No. of Accidents,16031,27.90165499,37.2598581394
42,2016,Tabouk,No. of Casualties - Injured,1724,27.90165499,37.2598581394
43,2016,Al-Baha,No. of Casualties - Dead,185,20.1484058503,41.4665484892
44,2016,Al-Baha,No. of Accidents,3618,20.1484058503,41.4665484892
45,2016,Al-Jouf,No. of Casualties - Dead,245,29.9677445762,39.5570371172
46,2017,Makkah,No. of Casualties - Injured,10623,21.628962766,41.2636898334
47,2017,Madinah,No. of Casualties - Injured,2917,24.927534539,39.4918237173
48,2017,Asir,No. of Accidents,25245,19.1387847401,42.941470036
49,2017,Tabouk,No. of Casualties - Injured,1243,27.90165499,37.2598581394
50,2017,Hail,No. of Casualties - Dead,265,27.400845724,41.4406960508
51,2017,Northern Boarder,No. of Casualties - Dead,112,30.197074783,41.8171186952
52,2017,Northern Boarder,No. of Casualties - Injured,374,30.197074783,41.8171186952
53,2017,Najran,No. of Accidents,3193,18.4511003068,46.8688495726
54,2017,Al-Jouf,No. of Casualties - Dead,240,29.9677445762,39.5570371172
55,2016,Madinah,No. of Casualties - Injured,4184,24.927534539,39.4918237173
56,2016,Asir,No. of Accidents,32684,19.1387847401,42.941470036
57,2016,Hail,No. of Casualties - Injured,932,27.400845724,41.4406960508
58,2016,Northern Boarder,No. of Accidents,13196,30.197074783,41.8171186952
59,2016,Jazan,No. of Accidents,25873,17.2072313962,42.6525807422
60,2016,Najran,No. of Accidents,3235,18.4511003068,46.8688495726
61,2017,Madinah,No. of Accidents,16070,24.927534539,39.4918237173
62,2017,Qassim,No. of Casualties - Dead,319,26.1967063704,43.3429998455
63,2017,Eastern Region,No. of Casualties - Injured,4073,23.2883307307,50.1478302439
64,2017,Asir,No. of Casualties - Dead,828,19.1387847401,42.941470036
65,2017,Tabouk,No. of Casualties - Dead,348,27.90165499,37.2598581394
66,2017,Hail,No. of Accidents,9379,27.400845724,41.4406960508
67,2017,Najran,No. of Casualties - Injured,766,18.4511003068,46.8688495726
70,2017,Riyadh,No. of Casualties - Dead,1399,23.0814341634,45.5857512766
71,2017,Makkah,No. of Casualties - Dead,1641,21.628962766,41.2636898334
72,2016,Riyadh,No. of Casualties - Injured,4207,23.0814341634,45.5857512766
73,2016,Makkah,No. of Casualties - Dead,2243,21.628962766,41.2636898334
74,2016,Qassim,No. of Casualties - Dead,397,26.1967063704,43.3429998455
75,2016,Najran,No. of Casualties - Dead,173,18.4511003068,46.8688495726
76,2016,Najran,No. of Casualties - Injured,706,18.4511003068,46.8688495726
78,2017,Makkah,No. of Accidents,145541,21.628962766,41.2636898334
79,2017,Asir,No. of Casualties - Injured,2368,19.1387847401,42.941470036
80,2017,Hail,No. of Casualties - Injured,773,27.400845724,41.4406960508
81,2017,Al-Baha,No. of Casualties - Dead,134,20.1484058503,41.4665484892
82,2017,Al-Baha,No. of Accidents,1414,20.1484058503,41.4665484892
83,2017,Al-Baha,No. of Casualties - Injured,1007,20.1484058503,41.4665484892
